,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
4756,Audi A6 2.7 TDI,2010,35010,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11500
2929,Audi A6 2.7 TDI,2013,90000,Diesel,Automatic,Second,12.4 kmpl,2698 CC,179.5 bhp,5,22500
2661,Audi A6 2.8 FSI,2008,41000,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,5,10500
3637,Audi A6 2011-2015 2.0 TDI,2014,54862,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,16670
2863,Audi A6 2011-2015 2.0 TDI,2013,70998,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,20570
902,Audi A6 2011-2015 2.0 TDI,2013,70181,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,23990
822,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,18950
325,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,51495,Diesel,Automatic,First,17.68 kmpl,19 CC,174.33 bhp,5,21950
305,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,61726,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,20770
4261,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,56500,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,19800
174,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,19000
2236,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,58000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,18500
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,57456,Diesel,Automatic,First,1768 kmpl,1968 CC,174.33 bhp,5,21560
659,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,23890
576,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,202082,Diesel,Automatic,First,17.68 kmpl,1968 CC,17433 bhp,5,12300
5741,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,85000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,21000
4395,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,17500
299,Audi A6 2011-2015 2.0 TDI Technology,2015,31652,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,26780
3066,Audi A6 2011-2015 3.0 TDI Quattro Premium Plus,2012,50001,Diesel,Automatic,First,14.57 kmpl,2967 CC,241.38 bhp,5,29000
92,Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,39580
3398,Audi A6 2011-2015 35 TDI Technology,2015,42000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,24250
524,Audi A6 2011-2015 35 TDI Technology,2017,41041,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,37560
5460,Audi A6 2011-2015 35 TDI Technology,2015,37500,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,32000
5848,Audi A6 2011-2015 35 TDI Technology,2017,55975,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,35920
4936,Audi A6 2011-2015 35 TDI Technology,2015,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,36000
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,23500
596,Audi A6 2011-2015 35 TFSI Technology,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,24220
4471,Audi A6 3.0 TDI quattro,2009,52830,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5,8080
2713,Audi A6 3.0 TDI quattro,2008,45000,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5,11500
849,Audi A6 3.0 TDI quattro,2009,48040,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5,12070
4669,Audi A6 3.0 TDI quattro,2008,50000,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5,7500
2879,Audi A6 35 TDI Matrix,2014,62000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,25000
5313,Audi A6 35 TDI Matrix,2015,20000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,35500
3572,Audi A6 35 TDI Matrix,2017,36824,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,39840
2876,Audi A6 35 TDI Matrix,2014,56000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,24000
3836,Audi A6 35 TFSI Matrix,2018,22000,Petrol,Automatic,First,15.26 kmpl,1798 CC,187.74 bhp,5,41500
423,Audi A6 35 TFSI Matrix,2016,47000,Petrol,Automatic,First,15.26 kmpl,1798 CC,187.74 bhp,5,24500
1893,Audi A7 2011-2015 3.0 TDI Quattro,2014,60336,Diesel,Automatic,Second,14.4 kmpl,2967 CC,241.4 bhp,5,24940
1413,Audi A7 2011-2015 3.0 TDI Quattro,2011,42000,Diesel,Automatic,First,14.4 kmpl,2967 CC,241.4 bhp,5,28750
3093,Audi A7 2011-2015 Sportback,2012,24720,Diesel,Automatic,Second,0.0 kmpl,2967 CC,241.4 bhp,5,28000
2690,Audi A8 L 3.0 TDI quattro,2009,55000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5,13500
216,Audi A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5,45000
5950,Audi Q3 2.0 TDI,2014,65630,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,21750
5153,Audi Q3 2.0 TDI,2013,60000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,22000
4581,Audi Q3 2.0 TDI,2013,105000,Diesel,Automatic,First,17.32 kmpl,1968 CC,150 bhp,5,19000
1265,Audi Q3 2.0 TDI Quattro,2013,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,15250
1461,Audi Q3 2.0 TDI Quattro,2016,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,27000
1237,Audi Q3 2.0 TDI Quattro,2013,60000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,21000
4057,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2014,65000,Diesel,Automatic,Second,15.73 kmpl,1968 CC,174.33 bhp,5,21500
5346,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,63716,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,23000
1090,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,60000,Diesel,Automatic,Second,15.73 kmpl,1968 CC,174.33 bhp,5,14500
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,84000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,17750
2807,Audi Q3 2012-2015 35 TDI Quattro Premium,2015,48000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,18750
2462,Audi Q3 2012-2015 35 TDI Quattro Premium,2015,48000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,18250
4726,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2016,42000,Diesel,Automatic,Fst,15.73 kmpl,1968 CC,174.33 bhp,5,23500
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,76927,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,22750
4233,Audi Q3 30 TDI Premium FWD,2018,22060,Diesel,Automatic,First,18.51 kmpl,1968 CC,147.51 bhp,5,32730
3259,Audi Q3 30 TDI Premium FWD,2017,31000,Diesel,Automatic,First,18.51 kmpl,1968 CC,147.51 bhp,5,27000
409,Audi Q3 35 TDI Quattro Premium,2017,37542,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,25710
4191,Audi Q3 35 TDI Quattro Premium,2015,28000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,23750
633,Audi Q3 35 TDI Quattro Premium,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,25000
457,Audi Q3 35 TDI Quattro Premium Plus,2016,86642,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5,20370
2699,Audi Q3 35 TDI Quattro Premium Plus,2015,51000,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5,27500
4595,Audi Q3 35 TDI Quattro Premium Plus,2017,42366,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,31930
5239,Audi Q5 2.0 TDI,2013,72000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,29000
1819,Audi Q5 2.0 TDI,2015,56000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,35000
1464,Audi Q5 2.0 TDI Premium Plus,2016,43000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,39500
4210,Audi Q5 2.0 TDI Premium Plus,2014,53900,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,29000
4063,Audi Q5 2.0 TDI Premium Plus,2015,60146,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,29640
3795,Audi Q5 2.0 TDI Premium Plus,2014,87652,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,25710
2149,Audi Q5 2.0 TDI Premium Plus,2012,74500,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,15000
3085,Audi Q5 2.0 TDI Premium Plus,2013,44000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,32500
2652,Audi Q5 2.0 TDI Technology,2014,50000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,35000
5586,Audi Q5 2008-2012 2.0 TDI,2013,12467,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,25640
2019,Audi Q5 2008-2012 2.0 TDI,2011,53000,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,23000
704,Audi Q5 2008-2012 2.0 TDI,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,25460
4813,Audi Q5 2008-2012 2.0 TDI,2013,80127,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,23680
5096,Audi Q5 2008-2012 2.0 TDI,2014,44999,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,25000
5613,Audi Q5 2008-2012 2.0 TFSI Quattro,2011,59967,Petrol,Automatic,First,9.74 kmpl,1984 CC,208 bhp,5,18000
1246,Audi Q5 3.0 TDI Quattro,2018,32496,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,45620
4251,Audi Q5 3.0 TDI Quattro,2015,63000,Diesel,Automatic,Fst,13.22 kmpl,2967 CC,241.4 bhp,5,34500
1673,Audi Q5 3.0 TDI Quattro Technology,2015,11964,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,32950
5927,Audi Q5 3.0 TDI Quattro Technology,2018,29091,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,45520
3608,Audi Q5 3.0 TDI Quattro Technology,2017,43827,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,36830
5312,Audi Q5 30 TDI quattro Premium,2015,52000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,25490
913,Audi Q5 30 TDI quattro Premium,2017,40318,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,43740
451,Audi Q5 30 TDI quattro Premium Plus,2014,38000,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,39000
1925,Audi Q5 30 TDI quattro Premium Plus,2015,42747,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,39470
1864,Audi Q5 30 TDI quattro Premium Plus,2014,38000,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,38950
5302,Audi Q7 3.0 TDI Quattro Premium Plus,2016,31075,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,49790
3062,Audi Q7 3.0 TDI Quattro Premium Plus,2014,51076,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,34880
4502,Audi Q7 3.0 TDI Quattro Premium Plus,2015,50000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,47500
611,Audi Q7 3.0 TDI Quattro Premium Plus,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,12000
5242,Audi Q7 3.0 TDI Quattro Premium Plus,2014,45000,Diesel,Automatic,Second,12.07 kmpl,,241.4 bhp,7,37900
4282,Audi Q7 3.0 TDI Quattro Premium Plus,2014,72469,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,32520
5761,Audi Q7 3.0 TDI Quattro Premium Plus,2015,55662,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,42830
1104,Audi Q7 3.0 TDI Quattro Premium Plus,2015,53735,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,38940
666,Audi Q7 3.0 TDI Quattro Technology,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,18000
282,Audi Q7 3.0 TDI Quattro Technology,2018,11287,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,70360
2128,Audi Q7 3.0 TDI Quattro Technology,2012,88000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,36500
1209,Audi Q7 35 TDI Quattro Premium Plus,2015,65938,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,38000
4345,Audi Q7 35 TDI Quattro Technology,2016,45180,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,50220
2537,Audi Q7 35 TDI Quattro Technology,2016,28733,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,53110
2593,Audi Q7 35 TDI Quattro Technology,2015,21000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,52500
3994,Audi Q7 35 TDI Quattro Technology,2016,32545,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,48760
1562,Audi Q7 35 TDI Quattro Technology,2015,21000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,48000
1596,Audi Q7 4.2 FSI quattro,2008,71000,Petrol,Automatic,First,8.3 kmpl,4134 CC,250 bhp,7,11990
459,Audi Q7 4.2 TDI Quattro Technology,2016,51002,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,48910
4388,Audi Q7 4.2 TDI Quattro Technology,2015,50000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,48000
586,Audi Q7 4.2 TDI Quattro Technology,2014,79926,Diesel,Automatic,Fst,11.33 kmpl,4134 CC,335.2 bhp,7,29770
4559,Audi Q7 4.2 TDI Quattro Technology,2010,73000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,17510
4938,Audi Q7 4.2 TDI Quattro Technology,2015,56238,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,51690
1093,Audi Q7 4.2 TDI Quattro Technology,2014,50000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7,51000
1583,Audi Q7 45 TDI Quattro Premium Plus,2019,6773,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7,72940
1336,Audi Q7 45 TDI Quattro Technology,2016,20002,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7,67000
5009,Audi Q7 45 TDI Quattro Technology,2017,59500,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7,68000
327,Audi Q7 45 TDI Quattro Technology,2017,97430,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7,62670
4061,Audi RS5 Coupe,2013,23312,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,40500
148,Audi RS5 Coupe,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,37000
1288,Audi TT 2.0 TFSI,2014,14262,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,27350
557,Audi TT 2.0 TFSI,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,29500
5521,Bentley Continental Flying Spur,2006,48000,Petrol,Automatic,First,8.6 kmpl,5998 CC,552 bhp,4,59000
137,BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,17220
4645,BMW 1 Series 118d Base,2015,46001,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,16000
2299,BMW 1 Series 118d Sport Line,2013,51000,Diesel,Automatic,Second,20.58 kmpl,1995 CC,143 bhp,5,17000
2135,BMW 3 Series 2005-2011 325i Sedan,2009,70521,Petrol,Automatic,Second,10.9 kmpl,2497 CC,215 bhp,5,10300
2104,BMW 3 Series 2005-2011 325i Sedan,2010,77849,Petrol,Automatic,Second,10.9 kmpl,2497 CC,215 bhp,5,11270
2796,BMW 3 Series 2005-2011 325i Sedan,2011,43706,Petrol,Automatic,First,10.9 kmpl,2497 CC,215 bhp,5,9000
2544,BMW 3 Series 318i Sedan,2012,39000,Petrol,Automatic,Second,12.05 kmpl,1995 CC,154 bhp,5,15000
2423,BMW 3 Series 320d,2013,25000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,17990
